Position,Organization Name,Type,Contact,Membership
279,Mustang EMS,Student Organization,"Contact: Victoria Cunningham, Email group officers",Lifetime membership
280,Mustang Heroes,Student Organization,,Lifetime membership
281,Mustang Martial Arts,Student Organization,Contact: Jonathan Thomas,Lifetime membership
282,Mustang Mavericks,Student Organization,"Contact: Connor Light, Ethan Yang, Email group officers",Lifetime membership
283,Mustang Powerlifting,Student Organization,Contact: Jonathan Mitchell,Lifetime membership
284,Mustang Rocketry,Student Organization - Lyle School of Engineering,Contact: David Berberian,Lifetime membership
285,Mustang Scholars Program,Department,,Lifetime membership
286,Mustang Transfers Organization,Student Organization,,Lifetime membership
287,Mustangs for Christ (Preston Road Church of Christ),Student Organization - Religious Life Organization,,Lifetime membership
288,Mustangs For Hope,Student Organization,,Lifetime membership
289,Mustangs for Israel,Student Organization,Contact: Hannah Siegel,Lifetime membership
290,Mustangs for Life,Student Organization,,Lifetime membership
291,NAACP Y&C,Student Organization,,Lifetime membership
292,National Pan-Hellenic Council,Student Organization,,Lifetime membership
293,National Society of Black Engineers,Student Organization,,Lifetime membership
294,National Student Fellowships at SMU,Department,,Lifetime membership
295,Net Impact,Graduate Student Organization - Cox School of Business,"Contact: Sarah Hickey, Email group officers",(12 Months)
296,Non-Traditional Law Students Association,Graduate Student Organization - Dedman School of Law,Contact: Brandi Moses,Lifetime membership
297,Office of Diversity and Inclusion,Department,,Lifetime membership
298,Office of Engaged Learning,Department,,Lifetime membership
299,Office of Fraternity and Sorority Life,Department,Contact: Ashley Fitzpatrick,Lifetime membership
300,Office of General Education,Department,Contact: Lisa Cordoba,Lifetime membership
301,Office of Information Technology,Department,,Lifetime membership
302,Office of Information Technology Test Group,Department - Special Interest,,Lifetime membership
303,Office of Pre-Health Advising,Department,,Lifetime membership
304,Office of Student Advocacy & Support,Department - Special Interest,Contact: Email group officers,Lifetime membership
305,Office of Student Conduct & Community Standards,Department,,Lifetime membership
306,Office of the Chaplain & Religious Life,Department,"Contact: Lisa Garvin, Jon-Michael Carman, Kaleb Loomis",Lifetime membership
307,Office of the Provost,Department,,Lifetime membership
308,"Omega Delta Phi Fraternity, Inc.",Student Organization,,Lifetime membership
309,Online MBA,Department,,Lifetime membership
310,Operations & Analytics Club,Graduate Student Organization - Cox School of Business,,(12 Months)
311,Orientation and Transition Programs,"Department - Special Interest, Programming",Contact: Email group officers,Lifetime membership
312,Orthodox Christian Fellowship,Student Organization - Religious Life Organization,"Contact: Caroline Lowe, John Lucas, Email group officers",Lifetime membership
313,Outdoor Adventures,Department,,Lifetime membership
314,Palestine Solidarity Committee,Student Organization,,Lifetime membership
315,Panhellenic Council,Student Organization,Contact: Email group officers,Lifetime membership
316,Paper for Water,Student Organization,Contact: Travis Nolan,Lifetime membership
317,Parent and Family Programs,Department,Contact: Email group officers,Lifetime membership
318,Perkins Student Association,Graduate Student Organization - Perkins School of Theology,"Contact: Michaela Calahan, Tracy Allred",Lifetime membership
319,Peruna Handlers,Department,,Lifetime membership
320,Phi Alpha Delta Legal Fraternity,Graduate Student Organization - Dedman School of Law,,Lifetime membership
321,Phi Alpha Delta Pre-Law,Student Organization,,Lifetime membership
322,Phi Chi Theta,Student Organization - Professional,Contact: Ari Dahiya,Lifetime membership
323,Phi Delta Phi Legal Honor Society,Graduate Student Organization - Dedman School of Law,,Lifetime membership
324,Phi Delta Theta,Student Organization,,Lifetime membership
325,Phi Gamma Delta,Student Organization,,Lifetime membership
326,Pi Beta Phi,Student Organization,,Lifetime membership
327,Polo Club,Student Organization,Contact: Email group officers,Lifetime membership
328,Pre-Health Readiness & Enrichment Program,"Department - Professional, Academic",Contact: Email group officers,Lifetime membership
329,Pre-Physician Assistant Club,Student Organization,"Contact: Anna Weith, Dana Qatawneh, Kaothar Olateju, Lindsay Middleton",Lifetime membership
330,President's Scholars Program,Department,,Lifetime membership
331,Pride Visibility Day,Student Organization,,Lifetime membership
332,Pride@Cox,Graduate Student Organization - Cox School of Business,,(12 Months)
333,Private Equity & Venture Capital Club,Student Organization,,Lifetime membership
334,Professional MBA,Department - Cox School of Business,"Contact: Sarah Francisco, Skylar Buffington",Lifetime membership
335,Program Council,"Student Organization - Social, Special Interest, Programming",Contact: Email group officers,Lifetime membership
336,Project Sunshine,Student Organization,,Lifetime membership
337,Psi Chi,Student Organization,,Lifetime membership
338,Real Estate Law Association,Graduate Student Organization - Dedman School of Law,,Lifetime membership
339,Red Raider Law Society,Graduate Student Organization - Dedman School of Law,,Lifetime membership
340,Redefining Mental Illness,Student Organization,,Lifetime membership
341,Reformed University Fellowship (RUF),Student Organization,,Lifetime membership
342,Residence Life and Student Housing,Department,,Lifetime membership
343,Rock Climbing Club,Student Organization,,Lifetime membership
344,Rotunda Yearbook,Department,,Lifetime membership
345,Saudi Arabian Students Association,Student Organization,,Lifetime membership
346,Science & Technology Law Review,Graduate Student Organization - Dedman School of Law,,Lifetime membership
347,SciFi Buddies,Student Organization,,Lifetime membership
348,Second Amendment Foundation,Graduate Student Organization - Dedman School of Law,,Lifetime membership
349,Senate Organizations Committee,Student Organization,Contact: Email group officers,Lifetime membership
350,Sigma Alpha Epsilon,Student Organization,,Lifetime membership
351,Sigma Chi,Student Organization,,Lifetime membership
352,"Sigma Lambda Beta Fraternity, Inc.",Student Organization,,Lifetime membership
353,"Sigma Lambda Gamma National Sorority, Inc.",Student Organization,,Lifetime membership
354,Sigma Nu Fraternity,Student Organization,Contact: Michael Castle,Lifetime membership
355,Simmons Graduate Council,Graduate Student Organization - Simmons School of Education and Human Development,,Lifetime membership
356,Sisters Supporting Sisters,Student Organization,"Contact: Jj Jones, Nyamkah Lewis",Lifetime membership
357,SMU Abroad,Department,,Lifetime membership
358,SMU Athletics,Department,Contact: Sterling Myhre,Lifetime membership
359,SMU Campus Recreation,Department,Contact: Email group officers,Lifetime membership
360,SMU Choirs,Department - Meadows School of the Arts,,Lifetime membership
361,SMU Daily Campus,Student Organization,,Lifetime membership
362,SMU Dedman OUTLaw,Graduate Student Organization - Dedman School of Law,Contact: Suzanne Goebel,Lifetime membership
363,SMU Global and Online,Department,,Lifetime membership
364,SMU Law Review Association,Graduate Student Organization - Dedman School of Law,,Lifetime membership
365,SMU Law Walking and Running Club,Graduate Student Organization - Dedman School of Law,,Lifetime membership
366,SMU Libraries,Department,,Lifetime membership
367,SMU National Association of Black Accountants,Student Organization,,Lifetime membership
368,SMU Police,Department,,Lifetime membership
369,SMU Police Community Advisory Board,Department - Special Interest,,Lifetime membership
370,SMU Rang Elite Non-Competing Dance Team,Student Organization - Special Interest,,Lifetime membership
371,SMU Service House,Residence Life,,Lifetime membership
372,SMU Women's Rowing,Student Organization,,Lifetime membership
373,SMU-in-Taos,Department,"Contact: Cristalle Choi, Lorene Sugars",Lifetime membership
374,SMÆ±RM-Economics,Department - Dedman College of Humanities and Sciences,Contact: Email group officers,Lifetime membership
375,Social Change and Intercultural Engagement,"Department - Programming, Service, Multicultural, Affinity/Identity",,Lifetime membership
376,Society for Russian Studies at Southern Methodist University,Student Organization,,Lifetime membership
377,Society of Automotive Engineers,Student Organization,,"$25 (New Member)
Membership will end on 31 May"
378,Society of Hispanic Professional Engineers,Student Organization,"Contact: Arath Dominguez, Email group officers",Lifetime membership
379,Society of Women Engineers,Student Organization,Contact: Aparna Sridhar,Lifetime membership
380,South Asian Law Students Association,Graduate Student Organization - Dedman School of Law,,Lifetime membership
381,South Asian Student Association,Student Organization,"Contact: Ashish Doma, Email group officers",Lifetime membership
382,Southern Gentlemen,Student Organization,,Lifetime membership
383,SPECTRUM at SMU,Student Organization,Contact: Lilly Chapman,Lifetime membership
384,Sport Clubs,Department,,Lifetime membership
385,Sports & Entertainment Law Association,Graduate Student Organization - Dedman School of Law,,Lifetime membership
386,State Bar of Texas Law Student Division,Graduate Student Organization - Dedman School of Law,,Lifetime membership
387,Statistics & Data Science Club,Student Organization - Professional,,Lifetime membership
388,Student Academic Engagement & Success,Department,"Contact: Dustin Grabsch, Email group officers",Lifetime membership
389,Rotunda Scholars Program,Department,"Contact: Nikole Melgarejo, Rachel Mannon, Tulsi Lohani, Briana Morales, Jacob Garza, Gracie Holder, Maria Rios, Keuna Webster, Email group officers",Lifetime membership
390,Student Animal Defense Fund,Graduate Student Organization - Dedman School of Law,,Lifetime membership
391,Student Association of Music Therapy,Student Organization,,Lifetime membership
392,Student Bar Association,Graduate Student Organization - Dedman School of Law,,Lifetime membership
393,Student Center & Activities,Department,"Contact: Sean Murphy, Email group officers",Lifetime membership
394,Student Filmmakers Association,Student Organization,"Contact: Grace Maddox, Kaytlyn Bunting",Lifetime membership
395,Student Foundation,Student Organization - Programming,Contact: Email group officers,Lifetime membership
396,Student Giving Committee,Department,,Lifetime membership
397,Student Managed University Radio Frequency,Student Organization,,Lifetime membership
398,Student Mobilization,Student Organization,,Lifetime membership
399,Student Organized Art Collective,Student Organization,,Lifetime membership
400,Student Representatives to the Board of Trustees,Department,,Lifetime membership
401,Student Senate,Student Organization - Governing Board,Contact: Email group officers,Lifetime membership
402,Students Expanding American Literacy,Student Organization,,Lifetime membership
403,Students for Medical Humanities,Student Organization,,Lifetime membership
404,Students for New Learning,Student Organization,Contact: Jen Blossom,Lifetime membership
405,Students' Association Comptroller,Department,Contact: Email group officers,Lifetime membership
406,Sustainability Committee,Department,,Lifetime membership
407,TAMID,Student Organization,Contact: Adam Hawn,Lifetime membership
408,Tau Beta Pi,Student Organization - Honor Society,,Lifetime membership
409,Tax Law Society,Graduate Student Organization - Dedman School of Law,,Lifetime membership
410,Texas Trial Lawyers Association,Graduate Student Organization - Dedman School of Law,,Lifetime membership
411,The Belle Tones,Student Organization,"Contact: Ally Rayer, Regina Romero-Garza",Lifetime membership
412,The Big Event,Student Organization,"Contact: Grant Offner, Julian DiBona, Email group officers",Lifetime membership
413,The Blockchain Club,Student Organization,"Contact: Ephraim Sun, Laurens Gijsbertsen",Lifetime membership
414,The Boulevard Bulletin,Student Organization,,Lifetime membership
415,The Budd Center,Department,Contact: Jessica Murillo,Lifetime membership
416,The Center for Faith and Learning,Department,,Lifetime membership
417,The Classical Studies Club,Student Organization,Contact: Email group officers,Lifetime membership
418,The College Democrats,Student Organization - Political,,Lifetime membership
419,The Hill,Student Organization - Religious Life Organization,,Lifetime membership
420,The National Society of Leadership and Success at SMU,Student Organization,,Lifetime membership
421,The Period Project,Student Organization,"Contact: Miftah Khan, Oluwaseun Taiwo, Alison Kellom, Josephine Ryan, Sahar Hasanali",Lifetime membership
422,The Philosophy Club,Student Organization,,Lifetime membership
423,The Public Relations Student Society of America,Student Organization,,Lifetime membership
424,The Spanish Club,Student Organization,Contact: Antonio Segura,Lifetime membership
425,The Sports Business Society,Student Organization,Contact: Madison Levy,Lifetime membership
426,The Third Amendment Society: Students Against Quartering Soldiers,Graduate Student Organization - Dedman School of Law,,Lifetime membership
427,Themis Bar Review,Graduate Student Organization - Dedman School of Law,,Lifetime membership
428,Theta Tau,Student Organization,Contact: Caroline Corbin,Lifetime membership
429,Thrive Scholars,Department,,Lifetime membership
430,Tower Center,Department,,Lifetime membership
431,Tower Scholars Program,Department,,Lifetime membership
